"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterStrike_ConstructionCompletionDate","WaterStrike_YieldMeasurementMethod","WaterStrike_WaterStrikeType","WaterStrike_SeepageValue","WaterStrike_DepthToTop","WaterStrike_DepthToBottom","WaterStrike_TotalBlowYieldValue","WaterStrike_ContributionValue"
"Dept Water - Pretoria","2525DB00282","Borehole","-25.55066","25.76638","1939-08-10",,"Individual Contribution",,"27.43",,"0.3001","0.3"
"Dept Water - Pretoria","2525DB00282","Borehole","-25.55066","25.76638","1939-08-10",,"Individual Contribution","0.0001","17.07",,"0.3001",
"Dept Water - Pretoria","2525DB00283","Borehole","-25.55066","25.76639","1939-08-03","Float Principle (Thalimedes)","Total Seepage","0.0400","32.00",,,
"Dept Water - Pretoria","2525DA00047","Borehole","-25.55065","25.71637","1958-01-09","Float Principle (Thalimedes)","Total Yield",,"28.35",,"0.1200",
"Dept Water - Pretoria","2525DA00048","Borehole","-25.55065","25.71638","1963-01-31",,"Individual Contribution",,"31.39",,"0.5001","0.5"
"Dept Water - Pretoria","2525DA00048","Borehole","-25.55065","25.71638","1963-01-31",,"Individual Contribution","0.0001","30.78",,"0.5001",
"Dept Water - Pretoria","2525DB00280","Borehole","-25.55065","25.76637","1939-06-29",,"Total Seepage","0.0001","24.69",,,
"Dept Water - Pretoria","2525DB00281","Borehole","-25.55065","25.76638","1939-07-31",,"Total Seepage","0.0001","50.29",,,
"Dept Water - Pretoria","2525DA00045","Borehole","-25.55064","25.71636","1957-11-16",,"Individual Contribution",,"50.29",,"0.1001","0.1"
"Dept Water - Pretoria","2525DA00045","Borehole","-25.55064","25.71636","1957-11-16",,"Individual Contribution","0.0001","30.48",,"0.1001",
"Dept Water - Pretoria","2525DA00046","Borehole","-25.55064","25.71637","1958-01-04","Float Principle (Thalimedes)","Total Seepage","0.0600","20.73",,,
"Dept Water - Pretoria","2525DB00278","Borehole","-25.55064","25.76636","1939-05-10","Float Principle (Thalimedes)","Total Seepage","0.0100","27.43",,,
"Dept Water - Pretoria","2525DB00279","Borehole","-25.55064","25.76637","1939-05-18","Float Principle (Thalimedes)","Total Yield",,"22.86",,"0.1100",
"Dept Water - Pretoria","2525DA00043","Borehole","-25.55063","25.71635","1939-09-23","Estimated","Individual Contribution",,"30.48",,"2.5001","2.5"
"Dept Water - Pretoria","2525DA00043","Borehole","-25.55063","25.71635","1939-09-23","Estimated","Individual Contribution","0.0001","28.96",,"2.5001",
"Dept Water - Pretoria","2525DA00044","Borehole","-25.55063","25.71636","1957-10-09","Float Principle (Thalimedes)","Total Seepage","0.0100","29.87",,,
"Dept Water - Pretoria","2525DB00276","Borehole","-25.55063","25.76635","",,"",,,,,
"Dept Water - Pretoria","2525DB00277","Borehole","-25.55063","25.76636","1939-05-02",,"Total Seepage","0.0001","60.96",,,
"Dept Water - Pretoria","2525DB00189","Borehole","-25.55063","25.98301","1988-09-28",,"Total Seepage","0.0001","150.00",,,
"Dept Water - Pretoria","2525DA00041","Borehole","-25.55062","25.71634","1938-12-10",,"Total Seepage","0.0001","34.44",,,
"Dept Water - Pretoria","2525DA00042","Borehole","-25.55062","25.71635","1939-01-16","Float Principle (Thalimedes)","Total Yield",,"47.24",,"0.6600",
"Dept Water - Pretoria","2525DB00274","Borehole","-25.55062","25.76634","1930-09-06",,"Total Seepage","0.0001","47.85",,,
"Dept Water - Pretoria","2525DB00275","Borehole","-25.55062","25.76635","1930-10-13",,"Total Seepage","0.0001","52.73",,,
"Dept Water - Pretoria","2525DB00187","Borehole","-25.55062","25.98300","1988-11-22",,"Total Seepage","0.0001","90.00",,,
"Dept Water - Pretoria","2525DB00188","Borehole","-25.55062","25.98301","1988-11-28",,"Total Seepage","0.0001","149.00",,,
"Dept Water - Pretoria","2525DA00039","Borehole","-25.55061","25.71633","1930-08-19","Float Principle (Thalimedes)","Total Yield",,"32.31",,"0.6100",
"Dept Water - Pretoria","2525DA00040","Borehole","-25.55061","25.71634","1938-11-19","Float Principle (Thalimedes)","Total Yield",,"28.96",,"3.0300",
"Dept Water - Pretoria","2525DB00272","Borehole","-25.55061","25.76633","1922-01-13","Float Principle (Thalimedes)","Total Yield",,"24.38",,"0.4900",
"Dept Water - Pretoria","2525DB00273","Borehole","-25.55061","25.76634","1922-02-06","Float Principle (Thalimedes)","Total Yield",,"29.26",,"0.2600",
"Dept Water - Pretoria","2525DB00185","Borehole","-25.55061","25.98299","1988-09-30","Estimated","Individual Contribution",,"107.00",,"0.4001","0.4"
"Dept Water - Pretoria","2525DB00185","Borehole","-25.55061","25.98299","1988-09-30","Estimated","Individual Contribution","0.0001","72.00",,"0.4001",
"Dept Water - Pretoria","2525DB00186","Borehole","-25.55061","25.98300","1988-11-18",,"Total Seepage","0.0001","72.00",,,
"Dept Water - Pretoria","2526CA00233","Borehole","-25.55061","26.06634","1963-01-21",,"Total Seepage","0.0400","36.58",,,
