"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","EquipmentInstalled_MonitoringType","EquipmentInstalled_InstallationDate","EquipmentInstalled_DecommissionedDate","EquipmentInstalled_PumpType","EquipmentInstalled_DepthtoPumpIntake","EquipmentInstalled_PumpPowerSource","EquipmentInstalled_MeterType","EquipmentInstalled_WaterMeterBulkMeterIndicator","EquipmentInstalled_WaterMeterMaximumMeasurementValue","EquipmentInstalled_RainfallMonitoringEquipmentType","EquipmentInstalled_RainfallOtherEquipmentType","EquipmentInstalled_ElectronicDataLogger","EquipmentInstalled_OtherElectronicDataLoggerType","EquipmentInstalled_MeasurementMethod","EquipmentInstalled_WaterLevelMonitoringEquipmentType"
"Dept Water - North West","08-71139","Borehole","-25.45370","25.78527",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00254","Borehole","-25.45060","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00255","Borehole","-25.45060","26.08301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00024","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00025","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00026","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00027","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00028","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00029","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00030","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00031","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00032","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00033","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00034","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00035","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00036","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00038","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00040","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00041","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00042","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00043","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00044","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00045","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00046","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00047","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00048","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00049","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00050","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00051","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00052","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00053","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00054","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00055","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00056","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00057","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00058","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00059","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00060","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00061","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00062","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00063","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00064","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00065","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00066","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00067","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00068","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00069","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00070","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00071","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00072","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00073","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00074","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00075","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00076","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00077","Borehole","-25.45059","25.88299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00143","Borehole","-25.44976","25.79187",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72018","Borehole","-25.44853","25.70875",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71236","Borehole","-25.44836","25.79197",,"","",,,,,,,,,,,,
"Dept Water - North West","21-00123","Borehole","-25.44634","25.89235",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71386","Borehole","-25.44615","25.96787",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00164","Borehole","-25.44539","25.82356",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00198","Spring","-25.44499","25.86175",,"","",,,,,,,,,,,,
"Dept Water - North West","DK9E","Borehole","-25.44361","25.79197",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00184","Borehole","-25.44246","25.96742",,"","",,,,,,,,,,,,
"Dept Water - North West","2526CA00351","Borehole","-25.44208","25.76031","Rainfall Monitoring","1995-05-15","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525BD00142","Borehole","-25.44156","25.77437",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71233","Borehole","-25.44153","25.77575",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71138","Borehole","-25.44153","25.78028",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71137","Borehole","-25.43931","25.77519",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00171","Borehole","-25.43824","25.84135",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00141","Borehole","-25.43740","25.75771",,"","",,,,,,,,,,,,
"Dept Water - North West","21-00124","Borehole","-25.43536","25.83693",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00328","Borehole","-25.43403","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00325","Borehole","-25.43402","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00280","Borehole","-25.43401","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00278","Borehole","-25.43400","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00276","Borehole","-25.43399","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00274","Borehole","-25.43398","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00239","Borehole","-25.43397","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00237","Borehole","-25.43396","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00233","Borehole","-25.43394","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00232","Borehole","-25.43393","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00234","Borehole","-25.43393","26.03301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00236","Borehole","-25.43393","26.03302",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00238","Borehole","-25.43393","26.03303",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00240","Borehole","-25.43393","26.03304",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00275","Borehole","-25.43393","26.03305",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00277","Borehole","-25.43393","26.03306",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00279","Borehole","-25.43393","26.03307",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00299","Borehole","-25.43393","26.03308",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00327","Borehole","-25.43393","26.03309",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00001","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00002","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00003","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00004","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00005","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00006","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00007","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00008","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00009","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00010","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00011","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00012","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00013","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00014","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00015","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00016","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00017","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00018","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00019","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00020","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00021","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00022","Borehole","-25.43392","25.68298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00149","Borehole","-25.43087","25.77701",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00148","Borehole","-25.43045","25.78159",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71501","Borehole","-25.42971","25.77497",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71500","Borehole","-25.42883","25.77929",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00147","Borehole","-25.42698","25.77701",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00151","Borehole","-25.42670","25.76187",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00185","Borehole","-25.42615","25.96743",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71494","Borehole","-25.42584","25.77418",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00333","Borehole","-25.42477","26.08189",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71503","Borehole","-25.42460","25.76058",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0010","Borehole","-25.42407","25.75688",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00150","Borehole","-25.42309","25.78576",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71502","Borehole","-25.42200","25.77969",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00015","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00016","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00017","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00018","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00019","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00020","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00021","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00022","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00023","Borehole","-25.41726","25.96633",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BC00054","Borehole","-25.41003","25.74909",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00167","Borehole","-25.40735","25.87495",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71506","Borehole","-25.40698","25.74811",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0026","Borehole","-25.40649","25.72660",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0018","Borehole","-25.40591","25.72700",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00072","Borehole","-25.40525","25.72713",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0053","Borehole","-25.40519","25.74247",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BC00052","Borehole","-25.40503","25.74548",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0005","Borehole","-25.40401","25.74386",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BC00053","Borehole","-25.40392","25.74743",,"","",,,,,,,,,,,,
"Dept Water - North West","21-00164","Borehole","-25.40385","26.07968",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71477","Borehole","-25.40356","25.74431",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0054","Borehole","-25.40345","25.27000",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71504","Borehole","-25.40303","25.74388",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00375","Borehole","-25.40240","26.08290",,"","",,,,,,,,,,,,
"Dept Water - North West","08-00178","Borehole","-25.40084","26.07790",,"","",,,,,,,,,,,,
"Dept Water - North West","21-00177","Borehole","-25.40083","26.07792",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0021","Borehole","-25.39987","25.70279",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0023","Borehole","-25.39847","25.64267",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00037","Borehole","-25.39781","25.88493",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0223","Borehole","-25.39750","25.78600",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00156","Borehole","-25.39029","25.87685",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00186","Borehole","-25.38957","25.94489",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0020","Borehole","-25.38871","25.71677",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00349","Borehole","-25.38727","26.07495",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00346","Borehole","-25.38532","26.07689","Non Monitoring","1995-10-22","","Positive Displacement",,,,,,,,,,,
"Dept Water - North West","21-00156","Borehole","-25.38517","26.07994",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00245","Borehole","-25.38394","26.04967",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00243","Borehole","-25.38393","26.04967",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00244","Borehole","-25.38393","26.04968",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00336","Borehole","-25.38227","26.06550",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00181","Borehole","-25.38210","25.94881","Non Monitoring","1994-10-09","","Positive Displacement",,,,,,,,,,,
"Dept Water - North West","21-00163","Borehole","-25.38187","26.07546",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00180","Borehole","-25.38181","25.99252",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00337","Borehole","-25.38171","26.06578",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00348","Borehole","-25.38171","26.07300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00157","Borehole","-25.37979","25.87795",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00343","Borehole","-25.37949","26.08189","Non Monitoring","1995-10-24","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525BD00154","Borehole","-25.37365","25.97659",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0025","Borehole","-25.37122","25.72017",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0017","Borehole","-25.36683","25.72739",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0022","Borehole","-25.36576","25.72882",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00155","Borehole","-25.36479","25.95185",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE1224","Borehole","-25.36107","25.76421",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0028","Borehole","-25.34994","25.72876",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0212","Borehole","-25.34753","25.76546",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0066","Borehole","-25.34730","25.76561",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00153","Borehole","-25.34587","25.91743",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0020","Borehole","-25.33680","25.71357",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72131","Borehole","-25.33624","25.81373",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0026","Borehole","-25.33400","25.72852",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0213","Borehole","-25.33353","25.76637",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE0021","Borehole","-25.33258","25.71857",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71916","Borehole","-25.33189","25.81230",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72019","Borehole","-25.33167","25.76192",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72126","Borehole","-25.33102","25.76556",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0067","Borehole","-25.33018","25.75944",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0040","Borehole","-25.32941","25.76129",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0062","Borehole","-25.32899","25.77130",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00179","Borehole","-25.32897","25.77136",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDK0001","Borehole","-25.32758","25.77295",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0016","Borehole","-25.32758","25.77295",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72125","Borehole","-25.32757","25.77298",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","002088","Borehole","-25.32449","26.02356",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00178","Borehole","-25.32445","25.77258",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDK0002","Borehole","-25.32430","25.77128",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71936","Borehole","-25.32430","25.77135",,"","",,,,,,,,,,,,
"Dept Water - North West","2525CDK","Borehole","-25.32369","25.77175",,"","",,,,,,,,,,,,
"Dept Water - North West","2525CDK0014","Borehole","-25.32369","25.77175",,"","",,,,,,,,,,,,
"Dept Water - North West","2525CDK0013","Borehole","-25.32353","25.77061",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71921","Borehole","-25.32350","25.77055",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDK0003","Borehole","-25.32347","25.77065",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72129","Borehole","-25.32264","25.79901",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0057","Borehole","-25.32261","25.79905",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00177","Borehole","-25.32206","25.79888",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72132","Borehole","-25.32184","25.86485",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72130","Borehole","-25.32183","25.80694",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00383","Borehole","-25.31979","26.08024",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","002089","Borehole","-25.31866","26.02412",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72114","Borehole","-25.31797","25.79679",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00382","Borehole","-25.31782","26.08324",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00107","Borehole","-25.31731","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00105","Borehole","-25.31730","26.03300",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71917","Borehole","-25.31729","25.79632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00103","Borehole","-25.31729","26.03300",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0003","Borehole","-25.31728","25.80016",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00101","Borehole","-25.31728","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00100","Borehole","-25.31727","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00102","Borehole","-25.31727","26.03301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00104","Borehole","-25.31727","26.03302",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00106","Borehole","-25.31727","26.03303",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00001","Borehole","-25.31727","26.06634",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCE1268","Borehole","-25.31719","25.73995",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72128","Borehole","-25.31715","25.79330",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71918","Borehole","-25.31708","25.79230",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0043","Borehole","-25.31705","25.79226",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0011","Borehole","-25.31694","25.80009",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BCV0027","Borehole","-25.31458","25.71679",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00385","Borehole","-25.31365","26.08079",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0044","Borehole","-25.31355","25.79993",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0194","Borehole","-25.31344","25.81043",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00182","Borehole","-25.31342","25.81049",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0012","Borehole","-25.31291","25.80040",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72022","Borehole","-25.31280","25.81025",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0073","Borehole","-25.31255","25.79927",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0007","Borehole","-25.31200","25.80043",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72127","Borehole","-25.31198","25.79627",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00115","Borehole","-25.31179","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00124","Borehole","-25.31178","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00122","Borehole","-25.31177","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00120","Borehole","-25.31176","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00113","Borehole","-25.31175","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00111","Borehole","-25.31174","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00109","Borehole","-25.31173","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00118","Borehole","-25.31172","26.03300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00108","Borehole","-25.31172","26.03304",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00110","Borehole","-25.31172","26.03305",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00112","Borehole","-25.31172","26.03306",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00114","Borehole","-25.31172","26.03307",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00117","Borehole","-25.31172","26.03308",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00119","Borehole","-25.31172","26.03309",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00121","Borehole","-25.31172","26.03310",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526AC00123","Borehole","-25.31172","26.03311",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDV0005","Borehole","-25.30969","25.79959",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72133","Borehole","-25.30929","25.79817",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72117","Borehole","-25.30888","25.93338",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BDE0211","Borehole","-25.30871","25.80817",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72119","Borehole","-25.30805","25.92373",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72115","Borehole","-25.30790","25.80842",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72118","Borehole","-25.30769","25.92226",,"","",,,,,,,,,,,,
