"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","EquipmentInstalled_MonitoringType","EquipmentInstalled_InstallationDate","EquipmentInstalled_DecommissionedDate","EquipmentInstalled_PumpType","EquipmentInstalled_DepthtoPumpIntake","EquipmentInstalled_PumpPowerSource","EquipmentInstalled_MeterType","EquipmentInstalled_WaterMeterBulkMeterIndicator","EquipmentInstalled_WaterMeterMaximumMeasurementValue","EquipmentInstalled_RainfallMonitoringEquipmentType","EquipmentInstalled_RainfallOtherEquipmentType","EquipmentInstalled_ElectronicDataLogger","EquipmentInstalled_OtherElectronicDataLoggerType","EquipmentInstalled_MeasurementMethod","EquipmentInstalled_WaterLevelMonitoringEquipmentType"
"Dept Water - Pretoria","2525DA00096","Borehole","-25.56063","25.72209",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00087","Borehole","-25.56031","25.94270","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Rainfall Monitoring","1998-09-10","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497",,"","",,,,,,,,,,,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041","Rainfall Monitoring","1990-07-03","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
