"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","Lithology_DescriptorDesignation","Lithology_DescriptorName","Lithology_EventDate","Lithology_DepthToTop","Lithology_DepthToBottom","Lithology_LithologyName","Lithology_PrimaryColour","Lithology_ColourQualifier","Lithology_SecondaryColour","Lithology_CompositionQualifier","Lithology_FabricQualifier","Lithology_FabricAttribute","Lithology_MaterialType","Lithology_FormationType","Lithology_TextureQualifier","Lithology_HardnessQualifier","Lithology_ParticleShape","Lithology_Sorting","Lithology_BoulderPercentage","Lithology_CobblePercentage","Lithology_PebblePercentage","Lithology_GranulePercentage","Lithology_SandPercentage","Lithology_SiltPercentage","Lithology_ClayPercentage","Lithology_WeatheringDegree","Lithology_FracturingDegree"
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Non-Earth Scientist: Driller",,"1998-08-28","17.00","18.00","Dolomite","Grey",,"Bluish",,,,"Consolidated","Sedimentary","Fine",,,,,,,,,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Non-Earth Scientist: Driller",,"1998-08-28","18.00","24.00","Dolomite","Blue",,"Greyish",,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Non-Earth Scientist: Driller",,"1998-08-28","24.00","36.00","Dolomite","Grey",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Non-Earth Scientist: Driller",,"1998-08-28","36.00","42.00","Dolomite","Blue",,"Greyish",,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Non-Earth Scientist: Driller",,"1998-08-28","42.00","57.00","Dolomite","Brown",,,,,,"Consolidated","Sedimentary","Coarse",,,,,,,,,,,"Highly",
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Non-Earth Scientist: Driller",,"1998-08-28","57.00","58.00","Dolomite","Grey",,,,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","Non-Earth Scientist: Driller",,"1998-08-28","58.00","138.00","Dolomite","Blue",,"Greyish",,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","Non-Earth Scientist: Driller",,"1965-08-31","0.00","9.14","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","Non-Earth Scientist: Driller",,"1965-08-31","9.14","24.38","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","Non-Earth Scientist: Driller",,"1965-08-31","24.38","38.10","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","Non-Earth Scientist: Driller",,"1965-08-31","38.10","46.02","Vein-Quartz",,,,,,,"Consolidated","Mineral",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","Non-Earth Scientist: Driller",,"1956-11-01","0.00","0.61","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","Non-Earth Scientist: Driller",,"1956-11-01","0.61","12.19","Sandstone",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","Non-Earth Scientist: Driller",,"1956-11-01","12.19","13.72","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","Non-Earth Scientist: Driller",,"1956-11-01","13.72","37.49","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","Non-Earth Scientist: Driller",,"1956-11-01","37.49","39.01","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Non-Earth Scientist: Driller",,"1956-11-17","0.00","0.61","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Non-Earth Scientist: Driller",,"1956-11-17","0.61","7.62","Sandstone",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Non-Earth Scientist: Driller",,"1956-11-17","7.62","13.72","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Non-Earth Scientist: Driller",,"1956-11-17","13.72","25.60","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Non-Earth Scientist: Driller",,"1956-11-17","25.60","32.92","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Non-Earth Scientist: Driller",,"1956-11-17","32.92","40.54","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Non-Earth Scientist: Driller",,"1956-11-17","40.54","46.02","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Non-Earth Scientist: Driller",,"1966-07-29","0.00","1.52","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Non-Earth Scientist: Driller",,"1966-07-29","1.52","3.35","Boulders",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Non-Earth Scientist: Driller",,"1966-07-29","3.35","7.92","Sandstone",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Non-Earth Scientist: Driller",,"1966-07-29","7.92","15.54","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Non-Earth Scientist: Driller",,"1966-07-29","15.54","41.75","Norite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Non-Earth Scientist: Driller",,"1966-07-29","41.75","52.73","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468","Non-Earth Scientist: Driller",,"1967-02-17","0.00","29.56","Vein-Quartz",,,,,,,"Consolidated","Mineral",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468","Non-Earth Scientist: Driller",,"1967-02-17","29.56","70.10","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","Non-Earth Scientist: Driller",,"1910-10-12","0.00","1.22","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","Non-Earth Scientist: Driller",,"1910-10-12","1.22","10.67","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","Non-Earth Scientist: Driller",,"1910-10-12","10.67","24.08","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","Non-Earth Scientist: Driller",,"1910-10-12","24.08","32.00","Slate",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","Non-Earth Scientist: Driller",,"1910-10-25","0.00","0.61","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","Non-Earth Scientist: Driller",,"1910-10-25","0.61","20.42","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,"Moderately"
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","Non-Earth Scientist: Driller",,"1910-10-25","20.42","28.35","Slate",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","Non-Earth Scientist: Driller",,"1966-06-27","0.00","6.10","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","Non-Earth Scientist: Driller",,"1966-06-27","6.10","17.37","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","Non-Earth Scientist: Driller",,"1966-06-27","17.37","26.52","Boulders",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","Non-Earth Scientist: Driller",,"1966-06-27","26.52","31.09","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","Non-Earth Scientist: Driller",,"1910-09-30","0.00","11.58","Rubble",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","Non-Earth Scientist: Driller",,"1910-09-30","11.58","15.24","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,"Moderately"
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","Non-Earth Scientist: Driller",,"1910-09-30","15.24","20.73","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","Non-Earth Scientist: Driller",,"1992-03-20","0.00","11.00","Andesite","Red",,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","Non-Earth Scientist: Driller",,"1992-03-20","11.00","15.00","Andesite","Brown",,"Greyish",,,,"Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","Non-Earth Scientist: Driller",,"1992-03-20","15.00","41.00","Andesite","Grey",,"Bluish",,,"Slightly","Consolidated","Igneous",,,,,,,,,,,,"Highly","Moderately"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Non-Earth Scientist: Driller",,"2001-03-15","0.00","12.00","Lava","Brown",,"Greyish",,,,"Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Non-Earth Scientist: Driller",,"2001-03-15","12.00","40.00","Lava","Grey",,,,,,"Consolidated","Igneous","Fine",,,,,,,,,,,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Non-Earth Scientist: Driller",,"2001-03-15","40.00","46.00","Lava","Grey",,,,,,"Consolidated","Igneous","Fine",,,,,,,,,,,,"Moderately"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Non-Earth Scientist: Driller",,"2001-03-15","46.00","168.00","Lava","Grey",,,,,,"Consolidated","Igneous","Fine",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","Non-Earth Scientist: Driller",,"1998-06-19","0.00","8.00","Overburden","Brown",,"Bluish",,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
