"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","OtherNumber_OtherNumberType","OtherNumber_OtherNumber"
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","Hydrological Station Number","A3N0519"
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","NGDB-Number","2525DB00370"
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","W-Number","05165"
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","Water Level Measuring Point Number","045804"
"Dept Water - Pretoria","2525DB00092","Borehole","-25.55781","25.94965","NGDB-Number","2525DB00092"
"Dept Water - Pretoria","2525DA00105","Borehole","-25.55778","25.67054","Borehole Number","KF4"
"Dept Water - Pretoria","2525DA00105","Borehole","-25.55778","25.67054","NGDB-Number","2525DA00105"
"Dept Water - Pretoria","2525DA00101","Borehole","-25.55774","25.70506","NGDB-Number","2525DA00101"
"Dept Water - Pretoria","2525DA00101","Borehole","-25.55774","25.70506","Regional Borehole Number","B0974427"
"Dept Water - Pretoria","2525DA00111","Borehole","-25.55726","25.72490","Borehole Number","KA4"
"Dept Water - Pretoria","2525DA00111","Borehole","-25.55726","25.72490","NGDB-Number","2525DA00111"
"Dept Water - Pretoria","2526CA00505","Borehole","-25.55506","26.06178","Department of Water Affairs and Forestry Number","KN9"
"Dept Water - Pretoria","2526CA00505","Borehole","-25.55506","26.06178","NGDB-Number","2526CA00505"
"Dept Water - Pretoria","2525DB00373","Borehole","-25.55503","25.75139","Borehole Number","KL11"
"Dept Water - Pretoria","2525DB00373","Borehole","-25.55503","25.75139","NGDB-Number","2525DB00373"
"Dept Water - Pretoria","2526CA00500","Borehole","-25.55481","26.05688","Department of Water Affairs and Forestry Number","KN4"
"Dept Water - Pretoria","2526CA00500","Borehole","-25.55481","26.05688","NGDB-Number","2526CA00500"
"Dept Water - Pretoria","2526CA00504","Borehole","-25.55453","26.06606","Department of Water Affairs and Forestry Number","KN8"
"Dept Water - Pretoria","2526CA00504","Borehole","-25.55453","26.06606","NGDB-Number","2526CA00504"
"Dept Water - Pretoria","2526CA00503","Borehole","-25.55438","26.06359","Department of Water Affairs and Forestry Number","KN7"
"Dept Water - Pretoria","2526CA00503","Borehole","-25.55438","26.06359","NGDB-Number","2526CA00503"
"Dept Water - Pretoria","2526CA00507","Dug Well","-25.55338","26.04883","Department of Water Affairs and Forestry Number","KN11"
"Dept Water - Pretoria","2526CA00507","Dug Well","-25.55338","26.04883","NGDB-Number","2526CA00507"
"Dept Water - Pretoria","2526CA00502","Borehole","-25.55256","26.05975","Department of Water Affairs and Forestry Number","KN6"
