"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2525DB00284","Borehole","-25.55067","25.76639","",,,""
"Dept Water - Pretoria","2525DB00285","Borehole","-25.55067","25.76640","",,,""
"Dept Water - Pretoria","2525DA00049","Borehole","-25.55066","25.71638","",,,""
"Dept Water - Pretoria","2525DA00050","Borehole","-25.55066","25.71639","",,,""
"Dept Water - Pretoria","2525DB00282","Borehole","-25.55066","25.76638","",,,""
"Dept Water - Pretoria","2525DB00283","Borehole","-25.55066","25.76639","1939-08-03","46.94","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525DA00047","Borehole","-25.55065","25.71637","1958-01-09","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00048","Borehole","-25.55065","25.71638","",,,""
"Dept Water - Pretoria","2525DB00280","Borehole","-25.55065","25.76637","",,,""
"Dept Water - Pretoria","2525DB00281","Borehole","-25.55065","25.76638","",,,""
"Dept Water - Pretoria","2525DA00045","Borehole","-25.55064","25.71636","1957-11-16","54.56","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00046","Borehole","-25.55064","25.71637","1958-01-04","42.06","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00278","Borehole","-25.55064","25.76636","",,,""
"Dept Water - Pretoria","2525DB00279","Borehole","-25.55064","25.76637","",,,""
"Dept Water - Pretoria","2525DA00043","Borehole","-25.55063","25.71635","1939-09-23","33.45","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00044","Borehole","-25.55063","25.71636","1957-10-09","33.22","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00276","Borehole","-25.55063","25.76635","1930-10-20","3.81","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00277","Borehole","-25.55063","25.76636","",,,""
"Dept Water - Pretoria","2525DB00189","Borehole","-25.55063","25.98301","1988-09-28","150.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525DA00041","Borehole","-25.55062","25.71634","1938-12-10","34.44","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00042","Borehole","-25.55062","25.71635","1939-01-16","52.12","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00274","Borehole","-25.55062","25.76634","",,,""
"Dept Water - Pretoria","2525DB00275","Borehole","-25.55062","25.76635","",,,""
"Dept Water - Pretoria","2525DB00187","Borehole","-25.55062","25.98300","1988-11-22","90.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525DB00188","Borehole","-25.55062","25.98301","1988-11-28","149.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525DA00039","Borehole","-25.55061","25.71633","1930-08-19","34.75","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00040","Borehole","-25.55061","25.71634","1938-11-19","30.78","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00272","Borehole","-25.55061","25.76633","",,,""
"Dept Water - Pretoria","2525DB00273","Borehole","-25.55061","25.76634","",,,""
"Dept Water - Pretoria","2525DB00185","Borehole","-25.55061","25.98299","1988-09-30","120.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00186","Borehole","-25.55061","25.98300","1988-11-18","72.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2526CA00233","Borehole","-25.55061","26.06634","1963-01-21","60.35","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00037","Borehole","-25.55060","25.71632","1922-04-04","34.14","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DA00038","Borehole","-25.55060","25.71633","1930-07-26","20.73","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00270","Borehole","-25.55060","25.76632","",,,""
"Dept Water - Pretoria","2525DB00271","Borehole","-25.55060","25.76633","",,,""
